Successfully Opened  0xc00002f450
Read  595291  bytes
Checking totals...
Total OK: 2500000000000000
Successfully Opened genesis_account.json
Connecting to ADKgo node
GetBlockNumber
Block: 10
Deploying ADK Genesis Contracts 
waiting for contract to be mined...
Deployed ADKToken Contract as 0xB56a995117b41dA5BA90DA5c66116c60c6e19170
Bulk Setting (30/6115): KLEUMYOUCHFGRVXRJYW9GEHVY9JZIVDZYEFAMUUXXZFOUTZTGTDXJNBKJWDWWBMBEUKKLYQXQHYPPVYNA 480740000
Bulk Setting (31/6115): BFIHQJBGOLXIOSTACVHKQNXHBWUMCGDEHFBYLGDMHXKGIOEJMJPHOQMHKQWLIYLNLDHRIWKMFWZSUZ9XX 300000000000
Bulk Setting (32/6115): VPHH9UIIGGMUSDVMYYXHXDUKGVRLFHGCVUNCLHGCBR9KNYUOUP9TSBCUEQKVZHJJQFZTQPOKXSTSWJJWD 2480000000000
Bulk Setting (33/6115): IJIEVEJ9AJJFDODOLKFFFCORCBWGNBPDMVIEYAJMHYBWPRNUVTMKPAJBTAWDFCVMGQY9PWVIXHKABZNMR 178224529071
Bulk Setting (34/6115): JBKQDE9QK9IH99OEAGIBSHDJRNXCLRHGBJBIHZAWYXETYTFABWNDFUWMXLOWNFWRQVXZOSUWRLMGRKPUE 78233578595
Bulk Setting (35/6115): AWCOYLTOE9N99XWHWSUZFDWHGTCDTGQUE9KFTBFTCOYPJXRHU99YTUWPZNWXPZRISJAHGJOEDVLTDXIF9 6432815431346
Bulk Setting (36/6115): WNIFK9SNKQIJ9BHUVTHKNKAGBBVCTHWDVKTMS9KH9JLLUJBIWYCZZYWXBYZGFWTRWOMLPHASPUJPCXXCK 26160799
Bulk Setting (37/6115): CIMKTIJNYGGQBFCTZBTTBZGDWII9KOLJZXFMCBMM9PSHCUQ9ALOHTTTVFYRSUGWTVR9HPXRKPMESGTUDS 5000000000
Bulk Setting (38/6115): EBRGJF9THWUJNBZ9FHYIHU9SPXURZQDINXGUNQBTOWJGV9SX9XYVS9LGPCNEESJNNIO99BPJIACJHEGRN 21402223619168
Bulk Setting (39/6115): AHITSJYIHZXPT9RKVEQMTJARMBRUDQPMBMLAYKSNSHDAKVONFAPMPTSEKWV9IJOEJHZHMXMDNWAVCCYRQ 10000000000
Bulk Setting (40/6115): CLPPMNFBJJWYKGDXYHKWLESATNFZSEHCZOFUGNTR9SJKGYFEWTKCEDSGICNOASDAEFKOSZLOEHPUT9BQH 100000000
Bulk Setting (41/6115): 9HQQLJOXMDZOKMQTJPS9UYCXIDXAQO9JUYMZYYFPJHWALNPVTJB9KQMJQNMMUTWAVLLYDXNNQNKNDJSVV 94800000000
